Geo Point;Name;Name (en);Name (fr);IATA code;ICAO code;Wikipedia id;Wikidata id;Website;Phone;Operator;Description;Edit in OSM;Source;other_tags;Country;Country code
51.1342879, 13.7692881;Flughafen Dresden;Dresden Airport;;DRS;EDDC;de:Flughafen Dresden;Q657005;https://www.dresden-airport.de/;;;;https://www.openstreetmap.org/edit?node=31130888;http://www.dresden-airport.de/Unternehmen/struktur-fakten-personal/kenndaten-statistik.html;"{""passengers"": ""1900000"", ""contact:facebook"": ""https://www.facebook.com/dresdenairport"", ""int_name"": ""Dresden International"", ""name:cs"": ""Leti\u0161t\u011b Dr\u00e1\u017e\u010fany"", ""wheelchair"": ""yes"", ""closest_town"": ""Dresden, Germany"", ""cargo_volume"": ""184"", ""aerodrome:type"": ""international"", ""ele"": ""221"", ""contact:youtube"": ""https://www.youtube.com/user/DresdenAirport"", ""aeroway"": ""aerodrome"", ""contact:twitter"": ""https://twitter.com/dresden_airport"", ""name:de"": ""Flughafen Dresden"", ""is_in"": ""DE"", ""ref"": ""DRS"", ""aerodrome"": ""airport""}";Germany;DE
30.2055482, 71.4203099;Multan International Airport;Multan International Airport;;MUX;OPMT;en:Multan International Airport;;https://www.caapakistan.com.pk/airportinf1.htm;;Pakistan Civil Aviation Authority;;https://www.openstreetmap.org/edit?node=38089683;wikipedia;"{""name_1"": ""Multan International"", ""barrier"": ""fence"", ""type"": ""public"", ""closest_town"": ""Multan"", ""internet_access:ssid"": ""Wateen"", ""internet_access:fee"": ""yes"", ""aeroway"": ""aerodrome"", ""ele"": ""122"", ""aerodrome"": ""international"", ""name:zh"": ""\u6728\u5c14\u5766\u56fd\u9645\u673a\u573a"", ""internet_access"": ""wlan""}";Pakistan;PK
51.8149894, 39.227352;Аэропорт Воронеж;Voronezh International Airport;;VOZ;UUOO;ru:Чертовицкое (аэропорт);Q2444515;;;Voronezhavia;;https://www.openstreetmap.org/edit?node=39498773;wikipedia;"{""aeroway"": ""aerodrome"", ""alt_name"": ""\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0427\u0435\u0440\u0442\u043e\u0432\u0438\u0446\u043a\u043e\u0435"", ""barrier"": ""fence"", ""type"": ""public"", ""name:ru"": ""\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0412\u043e\u0440\u043e\u0301\u043d\u0435\u0436 (\u0427\u0435\u0440\u0442\u043e\u0432\u0438\u0446\u043a\u043e\u0435)"", ""is_in"": ""RU-VOR"", ""closest_town"": ""Voronezh"", ""aerodrome:type"": ""international"", ""ele"": ""157""}";Russia;RU
56.7446767, 60.8035843;Аэропорт Кольцово;Koltsovo Airport;;SVX;USSS;ru:Кольцово (аэропорт);Q1334495;;;;;https://www.openstreetmap.org/edit?node=43102086;;"{""int_name"": ""Aeroport Koltsovo"", ""contact:website"": ""http://www.koltsovo.ru/"", ""contact:phone"": ""+7-343-2644202"", ""closest_town"": ""Yekaterinburg"", ""aerodrome:type"": ""international"", ""ele"": ""233"", ""aeroway"": ""aerodrome"", ""operator:en"": ""Koltsovo International Airport"", ""name:ru"": ""\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u041a\u043e\u043b\u044c\u0446\u043e\u0432\u043e"", ""is_in"": ""\u0421\u0432\u0435\u0440\u0434\u043b\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c, \u0420\u043e\u0441\u0441\u0438\u044f""}";Russia;RU
56.4528382, -3.0260536;Dundee Airport;;;DND;EGPN;en:Dundee Airport;Q2655504;;;;;https://www.openstreetmap.org/edit?node=45420104;;"{""aeroway"": ""aerodrome"", ""aerodrome"": ""international"", ""ele"": ""5"", ""ref"": ""DND"", ""is_in"": ""Dundee,Scotland,UK""}";;
51.3830799, -2.7186615;Bristol Airport;;Aéroport international de Bristol;BRS;EGGD;en:Bristol Airport;Q8725;https://www.bristolairport.co.uk/;;;;https://www.openstreetmap.org/edit?node=47483196;;"{""internet_access:fee"": ""no"", ""aeroway"": ""aerodrome"", ""aerodrome"": ""international"", ""type"": ""public"", ""internet_access"": ""wlan""}";United Kingdom;GB
-38.039, 144.4679836;Avalon Airport;;;AVV;YMAV;en:Avalon Airport;Q17896;https://www.avalonairport.com.au/;;Linfox;Melbourne's second airport. Mostly scheduled domestic flights with 1 international operator;https://www.openstreetmap.org/edit?node=48570499;;"{""internet_access:fee"": ""no"", ""aerodrome:scheduled_flights"": ""domestic;international"", ""aeroway"": ""aerodrome"", ""old_name"": ""Avalon Airfield"", ""internet_access"": ""wlan"", ""aerodrome"": ""international"", ""ref"": ""AVV"", ""aerodrome:type"": ""public"", ""ele"": ""11 m""}";Australia;AU
22.8132473, 5.4384874;مطار أقنار - حاج باي أخاموك;Tamanrasset Airport;Aéroport de Tamanrasset;TMR;DAAT;ar:مطار أقنار - حاج باي أخاموك;Q1951782;;;مؤسسة تسيير مصالح مطارات الجزائر;;https://www.openstreetmap.org/edit?node=49048551;"IATA;wikipedia;ouraiports.com;Bing";"{""name:el"": ""\u0391\u03b5\u03c1\u03bf\u03b4\u03c1\u03cc\u03bc\u03b9\u03bf \u03c4\u03bf\u03c5 \u03a4\u03b1\u03bc\u03b1\u03bd\u03c1\u03b1\u03c3\u03c3\u03ad\u03c4"", ""alt_name:ar"": ""\u0645\u0637\u0627\u0631 \u062a\u0645\u0646\u0631\u0627\u0633\u062a"", ""operator:ar"": ""\u0645\u0624\u0633\u0633\u0629 \u062a\u0633\u064a\u064a\u0631 \u0645\u0635\u0627\u0644\u062d \u0645\u0637\u0627\u0631\u0627\u062a \u0627\u0644\u062c\u0632\u0627\u0626\u0631"", ""name:fa"": ""\u0641\u0631\u0648\u062f\u06af\u0627\u0647 \u0627\u06af\u0648\u0646\u0627\u0631 \u2013 \u0647\u062c \u0628\u06cc \u0627\u062e\u0627\u0645\u0648\u06a9"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u0623\u0642\u0646\u0627\u0631 - \u062d\u0627\u062c \u0628\u0627\u064a \u0623\u062e\u0627\u0645\u0648\u0643"", ""closest_town"": ""\u062a\u0645\u0646\u0631\u0627\u0633\u062a"", ""aerodrome:type"": ""public"", ""ele"": ""1377"", ""operator:fr"": ""Etablissement de Gestion de Services A\u00e9roportuaires"", ""aeroway"": ""aerodrome"", ""alt_name"": ""\u0645\u0637\u0627\u0631 \u062a\u0645\u0646\u0631\u0627\u0633\u062a"", ""name:ru"": ""\u0422\u0430\u043c\u0430\u043d\u0440\u0430\u0441\u0441\u0435\u0442\u0441\u043a\u0438\u0439 \u0430\u044d\u0440\u043e\u043f\u043e\u0440\u0442"", ""aerodrome"": ""international""}";Algeria;DZ
57.6630308, 12.2842194;Göteborg Landvetter Airport;Gothenburg Landvetter Airport;Aéroport de Göteborg-Landvetter;GOT;ESGG;sv:Landvetter flygplats;Q1137115;https://www.swedavia.com/landvetter/;;Swedavia;;https://www.openstreetmap.org/edit?node=50587885;;"{""fax"": ""+46 10 10 93 111"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Landvetter Flygplats"", ""ele"": ""154.4"", ""addr:postcode"": ""438 80"", ""contact:phone"": ""+46 31 941000"", ""email"": ""info@landvetterairport.se"", ""aerodrome"": ""international""}";Sweden;SE
36.982411, 35.2814689;Adana Şakirpaşa Havalimanı;;;ADA;LTAF;en:Adana Şakirpaşa Airport;Q1430728;;;;;https://www.openstreetmap.org/edit?node=51693589;;"{""city"": ""Adana"", ""aeroway"": ""aerodrome"", ""geonames:id"": ""6299727"", ""country"": ""Turkey"", ""ref"": ""ADA"", ""aerodrome:type"": ""international"", ""ele"": ""20""}";Turkey;TR
27.8142901, -17.8872231;Aeropuerto de El Hierro;El Hierro Airport;Aérodrome d'El Hierro;VDE;GCHI;;;;;AENA;;https://www.openstreetmap.org/edit?node=52323651;;"{""name:de"": ""Flughafen El Hierro"", ""aeroway"": ""aerodrome"", ""aerodrome:type"": ""public"", ""aerodrome"": ""international""}";Spain;ES
36.2337985, 59.6420624;فرودگاه بین‌المللی شهید هاشمی‌نژاد مشهد;Mashhad International Airport;;MHD;OIMM;en:Mashhad International Airport;Q1152024;;;Razavi Khorasan Province Airports department;;https://www.openstreetmap.org/edit?node=56477094;wikipedia;"{""aeroway"": ""aerodrome"", ""alt_name"": ""Shahid Hashemi Nejad International"", ""old_name:en"": ""Imam Reza Airbase"", ""old_name"": ""\u067e\u0627\u06cc\u06af\u0627\u0647 \u0647\u0648\u0627\u06cc\u06cc \u0627\u0645\u0627\u0645 \u0631\u0636\u0627"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u0645\u0634\u0647\u062f \u0627\u0644\u062f\u0648\u0644\u064a"", ""closest_town"": ""Mashhad"", ""aerodrome:type"": ""international"", ""name:de"": ""Flughafen Maschhad""}";Iran;IR
-8.8618025, 13.2310676;Aeroporto Internacional 4 de Fevereiro;Quatro de Fevereiro International Airport;Aéroport International du Quatro de Fevereiro;LAD;FNLU;en:Quatro de Fevereiro Airport;Q598002;;;Military of Angola;;https://www.openstreetmap.org/edit?node=61914615;wikipedia;"{""name:ms"": ""Lapangan Terbang Quatro de Fevereiro"", ""name:zh-Hant"": ""\u4e8c\u6708\u56db\u65e5\u570b\u969b\u6a5f\u5834"", ""name:nl"": ""Quatro de Fevereiro Internationale Luchthaven"", ""name:id"": ""Bandar Udara Quatro de Fevereiro"", ""name:lt"": ""Quatro de Fevereiro oro Uostas"", ""name:de"": ""Quatro de Fevereiro Internationaler Flughafen"", ""name:ko"": ""\ub8e8\uc548\ub2e4 \ucf70\ud2b8\ub8e8 \ub4dc \ud398\ubca0\ub808\uc774\ub8e8 \uacf5\ud56d"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u0643\u0648\u0627\u062a\u0631\u0648 \u062f\u064a \u0641\u064a\u0641\u064a\u0631\u064a\u0631\u0648"", ""name:pt"": ""Aeroporto Internacional 4 de Fevereiro"", ""aerodrome:type"": ""military/public"", ""name:it"": ""Quatro de Fevereiro Aeroporto Internazionale"", ""name:vi"": ""S\u00e2n bay Quatro de Fevereiro"", ""name:ru"": ""\u041c\u0435\u0436\u0434\u0443\u043d\u0430\u0440\u043e\u0434\u043d\u044b\u0439 \u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u041a\u0432\u0430\u0442\u0440\u043e \u0434\u0435 \u0424\u0435\u0432\u0435\u0440\u0435\u0439\u0440\u043e"", ""name:pl"": ""Quatro de Fevereiro Mi\u0119dzynarodowy Port Lotniczy"", ""ele"": ""74"", ""name:hr"": ""Aerodrom Quatro de Fevereiro"", ""name:tg"": ""\u0424\u0443\u0440\u0443\u0434\u0433\u043e\u04b3\u0438 \u041a\u0443\u043e\u0442\u0440\u0443 \u0434\u0443 \u0424\u0440\u0443\u0438\u0440\u0443"", ""name:ca"": ""Aeroport Internacional Quatro de Fevereiro"", ""name:ja"": ""\u30af\u30a2\u30c8\u30ed\u30fb\u30c7\u30fb\u30d5\u30a7\u30d9\u30ec\u30a4\u30ed\u7a7a\u6e2f"", ""name:el"": ""\u0394\u03b9\u03b5\u03b8\u03bd\u03ad\u03c2 \u0391\u03b5\u03c1\u03bf\u03b4\u03c1\u03cc\u03bc\u03b9\u03bf \u03c4\u03b7\u03c2 \u039b\u03bf\u03c5\u03ac\u03bd\u03c4\u03b1 \u00ab4\u03b7 \u03a6\u03b5\u03b2\u03c1\u03bf\u03c5\u03b1\u03c1\u03af\u03bf\u03c5\u00bb"", ""addr:city"": ""Luanda"", ""is_in"": ""Luanda"", ""name:da"": ""Quatro de Fevereiro Lufthavn"", ""name:zh-Hans"": ""\u4e8c\u6708\u56db\u65e5\u56fd\u9645\u673a\u573a"", ""name:gl"": ""Aeroporto Internacional Quatro de Fevereiro"", ""aeroway"": ""aerodrome"", ""name:et"": ""Quatro de Fevereiro lennujaam"", ""aerodrome"": ""international"", ""name:af"": ""Quatro de Fevereiro Internasionale Lughawe"", ""name:es"": ""Aeropuerto Internacional del Quatro de Fevereiro"", ""alt_name"": ""Aeroporto Internacional Quarto de Fevereiro""}";Angola;AO
50.463645, 4.4593201;Brussels South Charleroi Airport;Brussels South Charleroi Airport;Aéroport de Charleroi-Bruxelles-Sud;CRL;EBCI;en:Brussels South Charleroi Airport;Q1431012;;;;;https://www.openstreetmap.org/edit?node=63223157;;"{""name:fa"": ""\u0641\u0631\u0648\u062f\u06af\u0627\u0647 \u0628\u0631\u0648\u06a9\u0633\u0644 \u062c\u0646\u0648\u0628 \u0634\u0631\u0644\u0631\u0648\u0622"", ""name:sk"": ""Letisko Charleroi Brusel-Juh"", ""name:ja"": ""\u30d6\u30ea\u30e5\u30c3\u30bb\u30eb\u30fb\u30b5\u30a6\u30b9\u30b7\u30e3\u30eb\u30eb\u30ed\u30ef\u7a7a\u6e2f"", ""name:no"": ""Brussel S\u00f8r Charleroi Lufthavn"", ""type"": ""public"", ""name:de"": ""Flughafen Br\u00fcssel-Charleroi"", ""access"": ""private"", ""aeroway"": ""aerodrome"", ""name:it"": ""Aeroporto di Charleroi-Bruxelles Sud"", ""name:an"": ""Aeropuerto de Bruselas Sud"", ""name:bg"": ""\u041b\u0435\u0442\u0438\u0449\u0435 \u0428\u0430\u0440\u043b\u0435\u0440\u043e\u0430"", ""name:zh"": ""\u5e03\u9c81\u585e\u5c14\u5357\u90e8-\u6c99\u52d2\u7f57\u74e6\u673a\u573a"", ""name:tg"": ""\u0424\u0443\u0440\u0443\u0434\u0433\u043e\u04b3\u0438 \u0431\u0443\u0440\u04ef\u043a\u0441\u0438\u043b \u04b7\u0430\u043d\u0443\u0431 \u0448\u0440\u043b\u0440\u0443\u043e"", ""name:es"": ""Aeropuerto de Bruselas Sur"", ""aerodrome"": ""international""}";Belgium;BE
45.6708582, 9.7073543;Aeroporto internazionale il Caravaggio di Bergamo-Orio al Serio;Bergamo Orio al Serio Airport;;BGY;LIME;it:Aeroporto di Bergamo-Orio al Serio;Q517873;http://www.orioaeroporto.it/Airpor/portalProcess.jsp;;SACBO (Società Aeroporto Civile Bergamo Orio al Serio);;https://www.openstreetmap.org/edit?node=74362857;wikipedia;"{""addr:housenumber"": ""13"", ""local_ref"": ""BG01"", ""city_served"": ""Milano"", ""addr:city"": ""Orio al Serio"", ""official_name"": ""Il Caravaggio International Airport"", ""addr:postcode"": ""24050"", ""aerodrome:type"": ""public"", ""ele"": ""238"", ""aeroway"": ""aerodrome"", ""name:it"": ""Aeroporto di Bergamo-Orio al Serio"", ""name:uk"": ""\u0410\u0435\u0440\u043e\u043f\u043e\u0440\u0442 \u041e\u0440\u0456\u043e-\u0430\u043b\u044c-\u0421\u0435\u0440\u0456\u043e"", ""name:et"": ""Bergamo Orio al Serio lennujaam"", ""name:pl"": ""Port lotniczy Bergamo-Orio al Serio"", ""aerodrome"": ""international"", ""name:es"": ""Aeropuerto Internaci\u00f2nal de Bergamo Orio al Serio"", ""addr:street"": ""via Aereoporto""}";Italy;IT
62.0938196, 129.7754493;Аэропорт Якутск;Yakutsk Airport;;YKS;UEEE;ru:Якутск (аэропорт);Q1431588;http://yks.aero/;;ОАО «Аэропорт Якутск»;;https://www.openstreetmap.org/edit?node=75208104;wikipedia;"{""name:eo"": ""Yakutsk"", ""closest_town"": ""Yakutsk"", ""aerodrome:type"": ""international"", ""name:de"": ""Flughafen Jakutsk"", ""aeroway"": ""aerodrome"", ""name:ca"": ""Iakutsk"", ""name:ru"": ""\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u042f\u043a\u0443\u0442\u0441\u043a"", ""ele"": ""99"", ""name:pl"": ""Jakuck"", ""name:hu"": ""Jakutszk"", ""name:es"": ""Aeropuerto Yakutsk""}";Russia;RU
59.4143666, 24.8409232;Tallinna lennujaam;Tallinn Airport;;TLL;EETN;en:Tallinn Airport;Q630524;https://www.tallinn-airport.ee/;;AS Tallinna Lennujaam;;https://www.openstreetmap.org/edit?node=85746992;wikipedia;"{""official_name:de"": ""Flughafen Tallinn \u201eLennart Meri\u201c"", ""city_served"": ""Tallinn"", ""official_name:en"": ""Lennart Meri Tallinn Airport"", ""official_name"": ""Lennart Meri Tallinna Lennujaam"", ""name:de"": ""Flughafen Tallinn"", ""official_name:et"": ""Lennart Meri Tallinna Lennujaam"", ""aeroway"": ""aerodrome"", ""aerodrome:type"": ""public"", ""ele"": ""39"", ""name:et"": ""Tallinna lennujaam"", ""aerodrome"": ""international"", ""is_in"": ""Tallinn""}";Estonia;EE
38.0726286, 15.647816;Aeroporto di Reggio Calabria - Tito Minniti;Reggio Calabria Airport;;REG;LICR;en:Reggio Calabria Airport;Q1432582;;;SOGAS S.p.A.;;https://www.openstreetmap.org/edit?node=86985655;wikipedia;"{""name_2"": ""Reggio Calabria International Airport"", ""local_ref"": ""RC01"", ""int_name"": ""Aeroporto Tito Minniti"", ""closest_town"": ""Reggio Calabria"", ""aerodrome:type"": ""public"", ""ele"": ""29"", ""aeroway"": ""aerodrome"", ""name:it"": ""Aeroporto Tito Minniti di Reggio Calabria"", ""aerodrome"": ""international"", ""type"": ""public"", ""is_in"": ""IT""}";Italy;IT
-22.9782433, 14.6470531;Walvis Bay Airport;Walvis Bay airport;;WVB;FYWB;en:Walvis Bay Airport;Q960708;;;Namibian Civil Government;;https://www.openstreetmap.org/edit?node=88288343;wikipedia;"{""aeroway"": ""aerodrome"", ""aerodrome"": ""international"", ""closest_town"": ""Walvis Bay"", ""aerodrome:type"": ""public"", ""ele"": ""91""}";South Africa;ZA
38.1355682, 46.2418732;فرودگاه بین‌المللی شهید مدنی تبریز;Tabriz International Airport;Aéroport international de Tabriz;TBZ;OITT;en:Tabriz International Airport;Q721618;;;;;https://www.openstreetmap.org/edit?node=88907729;wikipedia;"{""passengers"": ""1456367"", ""name:ja"": ""\u30bf\u30d6\u30ea\u30fc\u30ba\u56fd\u969b\u7a7a\u6e2f"", ""name:tr"": ""Tebriz Havaliman\u0131"", ""addr:postcode"": ""5189613131"", ""contact:website"": ""tabriz.airport.ir"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u062a\u0628\u0631\u064a\u0632"", ""closest_town"": ""Tabriz, Iran"", ""aerodrome:type"": ""international"", ""ele"": ""1359"", ""aeroway"": ""aerodrome"", ""is_in:iso_3166_2"": ""IR-01"", ""addr:city"": ""\u062a\u0628\u0631\u06cc\u0632""}";Iran;IR
45.0394918, 33.9815557;Международный аэропорт Симферополь;Simferopol International Airport;;SIP;URFF;;;;;;;https://www.openstreetmap.org/edit?node=90044705;"wikipedia Bing;local knowledge;survey";"{""aeroway"": ""aerodrome"", ""wikipedia:en"": ""Simferopol_International_Airport"", ""name:uk"": ""\u041c\u0456\u0436\u043d\u0430\u0440\u043e\u0434\u043d\u0438\u0439 \u0430\u0435\u0440\u043e\u043f\u043e\u0440\u0442 \""\u0421\u0456\u043c\u0444\u0435\u0440\u043e\u043f\u043e\u043b\u044c\"" \u0456\u043c\u0435\u043d\u0456 \u0410\u043c\u0435\u0442-\u0425\u0430\u043d\u0430 \u0421\u0443\u043b\u0442\u0430\u043d\u0430"", ""barrier"": ""fence"", ""name:ru"": ""\u041c\u0435\u0436\u0434\u0443\u043d\u0430\u0440\u043e\u0434\u043d\u044b\u0439 \u0430\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0421\u0438\u043c\u0444\u0435\u0440\u043e\u043f\u043e\u043b\u044c"", ""internet_access"": ""yes"", ""closest_town"": ""Simferopol"", ""aerodrome:type"": ""international"", ""ele"": ""182""}";Ukraine;UA
